year,tMin,tMax,tAvg,prec,dday28C,dday30C,dday32C,dday34C,tempB0,temp0to4,temp4to8,temp8to12,temp12to16,temp16to20,temp20to24,temp24to28,temp28to32,tempA32,tempPB0,tempP0to24,tempP4to28,tempP28to32,tempPA32,splineC1,splineC2,splineC3,splineC4,piece28,piece30,piece32,piece34,fips,state
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,6.2805142,17.543798,11.912157,3.8063922,67.53157848796319,24.847094699021074,5.820954446139831,0.7357489642633719,64.47945205479452,45.54794520547945,33.58904109589041,26.972602739726028,41.397260273972606,39.534246575342465,59.23287671232877,47.465753424657535,6.780821917808219,0.0,64.47945205479452,246.27397260273972,47.465753424657535,6.780821917808219,0.0,4347.937230247341,1961.723901281715,537.5226475146363,72.50983001597831,5.904340221457286,0.0,0.0,0.0,29089,29
1970,6.478246,18.344275,12.411261,3.061052,83.6771031187324,38.671143229732245,14.7543547391555,3.874617345098576,50.0,40.24657534246575,49.89041095890411,29.013698630136986,33.082191780821915,40.61643835616438,62.64383561643836,49.0,10.506849315068493,0.0,50.0,255.4931506849315,49.0,10.506849315068493,0.0,4530.110015696042,2115.418625487941,593.5023917675667,82.99572911078654,12.955714578497899,0.9693418790216315,0.0,0.0,29089,29
1971,6.711609,18.97471,12.84316,2.285142,89.25836368367011,37.38038502301487,10.963400847799589,1.2810999624060757,53.41095890410959,41.082191780821915,32.50684931506849,28.36986301369863,43.465753424657535,45.02739726027397,59.054794520547944,56.36986301369863,5.712328767123288,0.0,53.41095890410959,249.5068493150685,56.36986301369863,5.712328767123288,0.0,4687.753139859601,2130.993853250317,583.6169338749845,78.00005069249261,4.0171569928731,0.000903090385541524,0.0,0.0,29089,29
1972,6.227917,18.068254,12.148086,2.1931584,99.86691097559316,47.3363495176385,17.409845584318248,4.019379404516921,49.054794520547944,54.10958904109589,35.35616438356164,31.45205479452055,33.87671232876713,42.9041095890411,60.06849315068493,46.49315068493151,12.684931506849315,0.0,49.054794520547944,257.7671232876712,46.49315068493151,12.684931506849315,0.0,4446.199499064521,2084.4765374374683,583.03033767545,82.19885211815246,7.843189134989699,0.0,0.0,0.0,29089,29
1973,7.422646,18.529121,12.9758835,3.9163704,73.50222817781903,29.00446937970293,7.176204187861619,1.1523235351676155,45.054794520547944,29.15068493150685,44.726027397260275,45.821917808219176,33.26027397260274,48.24657534246575,54.31506849315068,62.36986301369863,2.0547945205479454,0.0,45.054794520547944,255.5205479452055,62.36986301369863,2.0547945205479454,0.0,4736.197399324342,2087.3231174752136,566.1163693719941,74.11341152850429,1.1960024115157455,0.0,0.0,0.0,29089,29
1974,6.2791414,18.562117,12.420629,2.7977662,89.37827745220002,48.07572477427288,22.558194313954914,8.31816167355607,40.15068493150685,43.082191780821915,40.273972602739725,35.58904109589041,52.87671232876713,59.57534246575342,47.342465753424655,31.34246575342466,14.767123287671232,0.0,40.15068493150685,278.73972602739724,31.34246575342466,14.767123287671232,0.0,4533.529478170284,1910.755876295713,506.6537577520458,69.29879751087934,18.87775071026528,1.6116624858281383,0.0,0.0,29089,29
1975,6.4296207,18.732218,12.580919,2.5996385,106.72975843178324,51.150639320259494,18.813582562113847,4.151804851302504,67.86301369863014,35.10958904109589,28.054794520547944,30.643835616438356,38.12328767123287,52.84931506849315,44.84931506849315,57.58904109589041,9.917808219178083,0.0,67.86301369863014,229.63013698630138,57.58904109589041,9.917808219178083,0.0,4592.03543115397,2121.5232895621953,591.7894774903273,83.77737783536489,6.744868056414878,0.009832460586338828,0.0,0.0,29089,29
1976,5.029613,18.868095,11.9488535,2.0141356,96.28956486773961,45.39980342465604,16.505809404072743,3.9602148807412734,56.24657534246575,34.38356164383562,44.31506849315068,37.205479452054796,41.6986301369863,40.054794520547944,65.15068493150685,37.36986301369863,9.575342465753424,0.0,56.24657534246575,262.8082191780822,37.36986301369863,9.575342465753424,0.0,4373.2805114408875,1914.6893242204335,513.0221522667538,67.16577029369556,5.5703924257461335,0.0,0.0,0.0,29089,29
1977,6.5331116,18.413382,12.473247,2.8401284,83.83238664505824,34.80452921781304,10.53897806280295,1.2757555329917436,62.945205479452056,31.589041095890412,25.232876712328768,27.383561643835616,42.47945205479452,42.42465753424658,69.20547945205479,51.19178082191781,12.547945205479452,0.0,62.945205479452056,238.31506849315068,51.19178082191781,12.547945205479452,0.0,4552.734971981343,2253.108347997578,625.3618821883634,85.01053543188627,9.319043799622419,0.0,0.0,0.0,29089,29
